Time	Full Chromosome	Fraction 1	Fraction 2
56	1	0.42352018190929319	0
57	1	0.42389219072456585	0
58	1	0.42426419953983846	0
59	1	0.42463620835511107	0
59	1	0.42500821717038373	0
60	1	0.42538022598565634	0
61	1	0.42575223480092894	0
62	1	0.42612424361620155	0
63	1	0.42649625243147421	0
64	1	0.42686826124674682	0
65	1	0.42724027006201942	0
66	1	0.42761227887729203	0
67	1	0.42798428769256469	0
67	1	0.4283562965078373	0
68	1	0.4287283053231099	0
69	1	0.42910031413838251	0
70	1	0.42947232295365517	0
71	1	0.42984433176892778	0
72	1	0.43021634058420039	0
73	1	0.43058834939947305	0
74	1	0.43096035821474565	0
75	1	0.43133236703001826	0
76	1	0.43170437584529087	0
76	1	0.43207638466056353	0
77	1	0.43244839347583613	0
78	1	0.43282040229110874	0
79	1	0.43319241110638135	0
80	1	0.43356441992165401	0
81	1	0.43393642873692662	0
82	1	0.43430843755219922	0
83	1	0.43468044636747188	0
84	1	0.43505245518274449	0
84	1	0.4354244639980171	0
85	1	0.4357964728132897	0
86	1	0.43616848162856237	0
87	1	0.43654049044383497	0
88	1	0.43691249925910758	0
89	1	0.43728450807438018	0
90	1	0.43765651688965285	0
91	1	0.43802852570492545	0
92	1	0.43840053452019806	0
92	1	0.43877254333547072	0
93	1	0.43914455215074333	0
94	1	0.43951656096601593	0
95	1	0.43988856978128854	0
96	1	0.4402605785965612	0
97	1	0.44063258741183381	0
98	1	0.44100459622710642	0
99	1	0.44137660504237902	0
100	1	0.44174861385765168	0
101	1	0.44212062267292429	0
101	1	0.4424926314881969	0
102	1	0.44286464030346956	0
103	1	0.44323664911874217	0
104	1	0.44360865793401477	0
105	1	0.44398066674928738	0
106	1	0.44435267556456004	0
107	1	0.44472468437983265	0
108	1	0.44509669319510525	0
109	1	0.44546870201037786	0
109	1	0.44584071082565052	0
110	1	0.44621271964092313	0
111	1	0.44658472845619573	0
112	1	0.44695673727146834	0
113	1	0.447328746086741	0
114	1	0.44770075490201361	0
115	1	0.44807276371728622	0
116	1	0.44844477253255888	0
117	1	0.44881678134783148	0
117	1	0.44918879016310409	0
118	1	0.4495607989783767	0
119	1	0.44993280779364936	0
120	1	0.45030481660892197	0
121	1	0.45067682542419457	0
122	1	0.45104883423946718	0
123	1	0.45142084305473984	0
124	1	0.45179285187001245	0
125	1	0.45216486068528505	0
126	1	0.45253686950055771	0
126	1	0.45290887831583032	0
127	1	0.45328088713110293	0
128	1	0.45365289594637553	0
129	1	0.4540249047616482	0
130	1	0.4543969135769208	0
131	1	0.45476892239219341	0
132	1	0.45514093120746602	0
133	1	0.45551294002273868	0
134	1	0.45588494883801128	0
134	1	0.45625695765328389	0
135	1	0.45662896646855655	0
136	1	0.45700097528382916	0
137	1	0.45737298409910176	0
138	1	0.45774499291437437	0
139	1	0.45811700172964703	0
140	1	0.45848901054491964	0
141	1	0.45886101936019225	0
142	1	0.45923302817546485	0
142	1	0.45960503699073751	0
143	1	0.45997704580601012	0
144	1	0.46034905462128273	0
145	1	0.46072106343655539	0
146	1	0.461093072251828	0
147	1	0.4614650810671006	0
148	1	0.46183708988237321	0
149	1	0.46220909869764587	0
150	1	0.46258110751291848	0
151	1	0.46295311632819108	0
151	1	0.46332512514346369	0
152	1	0.46369713395873635	0
153	1	0.46406914277400896	0
154	1	0.46444115158928156	0
155	1	0.46481316040455417	0
156	1	0.46518516921982683	0
157	1	0.46555717803509944	0
158	1	0.46592918685037205	0
159	1	0.46630119566564471	0
159	1	0.46667320448091731	0
160	1	0.46704521329618992	0
161	1	0.46741722211146253	0
162	1	0.46778923092673519	0
163	1	0.4681612397420078	0
164	1	0.4685332485572804	0
165	1	0.46890525737255301	0
166	1	0.46927726618782567	0
167	1	0.46964927500309828	0
167	1	0.47002128381837088	0
168	1	0.47039329263364354	0
169	1	0.47076530144891615	0
170	1	0.47113731026418876	0
171	1	0.47150931907946136	0
172	1	0.47188132789473403	0
173	1	0.47225333671000663	0
174	1	0.47262534552527924	0
175	1	0.47299735434055185	0
176	1	0.47336936315582451	0
176	1	0.47374137197109711	0
177	1	0.47411338078636972	0
178	1	0.47448538960164238	0
179	1	0.47485739841691499	0
180	1	0.4752294072321876	0
181	1	0.4756014160474602	0
182	1	0.47597342486273286	0
183	1	0.47634543367800547	0
184	1	0.47671744249327808	0
