PMID	Year Published	Parameters Used	Parameters Reported
21046341	2010	10	10
21058398	2010	0	2
21059411	2011	7	16
21081107	2011	2	2
21119630	2010	3	14
21169495	2011	2	8
21175197	2011	0	2
21247091	2011	0	2
21257746	2011	0	2
21278708	2011	2	3
21279421	2011	1	2
21290439	2011	0	3
21296885	2011	1	2
21298178	2011	3	3
21306992	2011	0	4
21370850	2011	0	2
21387027	2011	0	2
21498648	2011	0	8
21545144	2011	0	2
21545646	2011	0	2
21570393	2011	0	10
21604715	2011	0	4
21640076	2011	0	2
21669179	2011	2	3
21696459	2011	1	2
21704016	2011	1	3
21822642	2011	0	3
21830810	2011	0	2
21832062	2011	2	2
21878632	2011	0	3
21928762	2011	2	2
21953451	2011	0	2
21998098	2011	1	4
22017312	2011	2	6
22059588	2011	1	2
22089136	2011	0	8
22138634	2012	2	4
22173092	2012	1	4
22381368	2012	0	6
22411989	2012	3	5
22443469	2012	1	2
22459917	2012	0	2
22471615	2013	1	3
22511334	2012	0	4
22519976	2012	0	16
22686328	2012	0	9
22855027	2012	0	2
22970852	2012	1	2
22984449	2012	1	2
23001854	2013	1	2
23018273	2012	1	4
23132590	2012	0	2
23237860	2013	3	10
23284870	2013	0	4
23410922	2013	0	4
23484010	2013	1	6
23506073	2013	0	6
23527133	2013	0	2
23564174	2013	1	8
23595998	2013	0	4
23672258	2013	0	3
23801116	2013	0	2
23804755	2013	0	4
23879525	2013	2	2
23935849	2013	3	4
23990306	2013	0	16
24123841	2013	1	1
24141127	2013	0	12
24176774	2013	0	2
24210219	2013	3	14
24293650	2014	0	2
24449932	2014	0	2
24479701	2014	2	3
24509771	2014	8	12
24530526	2014	1	2
24816091	2014	0	2
24861318	2014	0	2
25010423	2014	0	11
25160617	2014	6	9
25225400	2014	1	2
25401076	2014	0	22
25484615	2014	1	4
25527541	2015	0	8
Barbas, C.F.; Wang, Y.F.; Wong, C.H. Deoxyribose-5-phosphate aldolase as a synthetic catalyst J. Am. Chem. Soc. 112 2013-2014 1990	1990	1	2
Chen, X.; Kowal, P.; Hamad, S.; Fan, H.; Wang, P.G. Cloning, expression and characterization of a UDP-galactose 4-epimerase from Escherichia coli Biotechnol. Lett. 21 1131-1135 1999 	1999	0	4
Chiu, T.H.; Evans, K.L.; Feingold, D.S. L-Rhamnulose-1-phosphate aldolase Methods Enzymol. 42C 264-269 1975	1975	1	2
Construction of engineered water-soluble PQQ glucose dehydrogenase with improved substrate specificity	2009	0	12
Dube, S.; Nanda, K.; Rani, R.; Kaur, N.; Nagpal, J.; Upadhyay, D.; Cliffe, I.; Saini, K.; Purnapatre, K. UDP-N-acetylglucosamine enolpyruvyl transferase from Pseudomonas aeruginosa World J. Microbiol. Biotechnol. 26 1623-1629 2010 	2010	0	3
Feingold, D.S.; Hoffee, P.A. Other deoxy sugar aldolases The Enzymes, 3rd Ed. (Boyer, P.D., ed.) 7 303-321 1972 	1972	0	1
Gou, X.j.; Li, S.; Kong, X.d.; Liu, W.; Sun, Y.h.; Zhang, J. Directed evolution of L-aspartase by mobility of domains Chem. Res. Chin. Univ. 20 50-54 2004 	2004	0	2
Jo, Y.J.; Lee, S.W.; Jo, M.K.; Lee, J.W.; Kang, M.K.; Yoon, J.H.; Kim, S. Methionine analogue probes functionally important residues in active site of methionyl-tRNA synthetase J. Biochem. Mol. Biol. 32 547-553 1999	1999	0	2
Kiick, K.L.; Tirrell, D.A. Protein Engineering by In Vivo Incorporation of Non-Natural Amino Acids: Control of Incorporation of Methionine Analogues by Methionyl-tRNA Synthetase Tetrahedron 56 9487-9493 2000	2000	2	2
Kruger, N.J. Effects of temperature on the kinetic properties of phosphofructokinase from Escherichia coli Biochem. Soc. Trans. 17 760-761 1989 Escherichia coli ; 0 0	1989	1	1
Lambrecht et al. Anthranilate phosphoribosyl transferase (TrpD) generates phosphoribosylamine for thiamine synthesis from enamines and phosphoribosyl pyrophosphate. 2013. ACS Chem Biol.	2013	0	3
Methionine analogue probes functionally important residues in active site of methionyl-tRNA synthetase	1999	0	2
Mino, K et al Effects of Bienzyme Complex Formation of Cysteine Synthetase from Escherichia coli on Some Properties and Kinetics. 2014. Bioscience, Biotechnology, and Biochemistry	2014	3	6
Panova, N.G.; Shcheveleva, E.V.; Alexeev, C.S.; Mukhortov, V.G.; Zuev, A.N.; Mikhailov, S.N.; Esipov, R.S.; Chuvikovsky, D.V.; Miroshnikov, A.I. Use of 4-thiouridine and 4-thiothymidine in studies on pyrimidine nucleoside phosphorylases Mol. Biol. 38 770-776 2004 	2004	0	4
Reddick, J.J.; Kinsland, C.; Nicewonger, R.; Christian, T.; Downs, D.M.; Winkler, M.E.; Begley, T.P. Overexpression, purification and characterization of two pyrimidine kinases involved in the biosynthesis of thiamin: 4-amino-5-hydroxymethyl-2-methylpyrimidine kinase and 4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate kinase Tetrahedron 54 15983-15991 1998 	1998	0	10
Sheperdson, M.; Pardee, A.B. Production and crystallization of aspartate transcarbamylase J. Biol. Chem. 235 3233-3237 1960	1960	1	1
Siegel, L.M.; Kamin, H. TPNH-Sulfite reductase (Escherichia coli) Methods Enzymol. 17B 539-545 1971	1971	0	1
Thorner, J.W.; Paulus, H. Glycerol and glycerate kinases The Enzymes,3rd ed.(Boyer,P.D.,ed.) 8 487-508 1973 	1973	0	1
Truffa-Bachi, P. Microbial aspartokinases The Enzymes, 3rd Ed. (Boyer, P.D., ed.) 8 509-553 1973 	1973	0	3
Zhang, Q.; Liu, H.w. Studies of UDP-galactopyranose mutase from Escherichia coli: An unusual role of reduced FAD in its catalysis J. Am. Chem. Soc. 122 9065-9070 2000	2000	1	2
