B Num,Symbol,EcoCycID,ECK Num
b0191,yaeJ,EG12354,ECK0191
b2818,argA,EG10063,ECK2814
b2818,Arg2,EG10063,ECK2814
b2818,Arg1,EG10063,ECK2814
b3959,argB,EG10064,ECK3950
b3958,argC,EG10065,ECK3949
b3958,Arg2,EG10065,ECK3949
b3359,argD,EG10066,ECK3347
b3359,Arg1,EG10066,ECK3347
b3359,dapC,EG10066,ECK3347
b3359,dtu,EG10066,ECK3347
b3957,argE,EG11286,ECK3948
b0273,argF,EG10067,ECK0274
b3172,argG,EG10068,ECK3161
b3960,argH,EG11223,ECK3951
b4254,argI,EG10069,ECK4247
b2918,argK,EG11445,ECK2914
b2918,ygfD,EG11445,ECK2914
b2923,argO,EG11159,ECK2919
b2923,yggA,EG11159,ECK2919
b2916,argP,EG10490,ECK2912
b2916,iciA,EG10490,ECK2912
b2691,argQ,EG30013,ECK2686
b2691,argVdelta,EG30013,ECK2686
b3237,argR,EG10070,ECK3226
b3237,Rarg,EG10070,ECK3226
b3237,xerA,EG10070,ECK3226
b1876,argS,EG10071,ECK1877
b1876,lov,EG10071,ECK1877
b1876,lov-1,EG10071,ECK1877
b2310,argT,EG10072,ECK2304
b0536,argU,EG30014,ECK0529
b0536,dnaY,EG30014,ECK0529
b0536,pin,EG30014,ECK0529
b2694,argV,EG30015,ECK2689
b2694,argValpha,EG30015,ECK2689
b2348,argW,EG30016,ECK2342
b3796,argX,EG30017,ECK3789
b2693,argY,EG30018,ECK2688
b2693,argVbeta,EG30018,ECK2688
b2692,argZ,EG30019,ECK2687
b2692,argVgamma,EG30019,ECK2687
b1166,ariR,G6606,ECK1153
b1166,ymgB,G6606,ECK1153
b2255,arnA,G7168,ECK2248
b2255,SAF,G7168,ECK2248
b2255,yfbG,G7168,ECK2248
b2255,pmrI,G7168,ECK2248
b2253,arnB,G7166,ECK2246
b2253,pmrH,G7166,ECK2246
b2253,yfbE,G7166,ECK2246
b2254,arnC,G7167,ECK2247
b2254,pmrF,G7167,ECK2247
b2254,yfbF,G7167,ECK2247
b2256,arnD,G7169,ECK2249
b2256,pmrJ,G7169,ECK2249
b2256,yfbH,G7169,ECK2249
b4544,arnE,G0-10460,ECK2251
b4544,yfbW,G0-10460,ECK2251
b2258,arnF,G7171,ECK2252
b2258,yfbJ,G7171,ECK2252
b2257,arnT,G7170,ECK2250
b2257,yfbI,G7170,ECK2250
b2257,pmrK,G7170,ECK2250
b0908,aroA,EG10073,ECK0899
b3389,aroB,EG10074,ECK3376
b2329,aroC,EG10075,ECK2323
b1693,aroD,EG10076,ECK1691
b3281,aroE,EG10077,ECK3268
b2601,aroF,EG10078,ECK2598
b0754,aroG,EG10079,ECK0743
b1704,aroH,EG10080,ECK1702
b3390,aroK,EG10081,ECK3377
b0388,aroL,EG10082,ECK0383
b0390,aroM,EG10083,ECK0385
b0112,aroP,EG10084,ECK0111
b0112,aroR,EG10084,ECK0111
b4017,arpA,EG11208,ECK4009
b4017,arp,EG11208,ECK4009
b4017,yjaC,EG11208,ECK4009
b4704,arrS,G0-10694,ECK4516
b3502,arsB,EG12236,ECK3487
b3502,arsF,EG12236,ECK3487
b3503,arsC,EG12237,ECK3488
b3503,arsG,EG12237,ECK3488
b3501,arsR,EG12235,ECK3486
b3501,arsE,EG12235,ECK3486
b0863,artI,EG11625,ECK0854
b0860,artJ,EG11628,ECK0851
b0861,artM,EG11627,ECK0852
b0864,artP,EG11624,ECK0855
b0862,artQ,EG11626,ECK0853
b2716,ascB,EG10085,ECK2711
b2716,sac,EG10085,ECK2711
b2715,ascF,EG10086,ECK2710
b2715,sac,EG10086,ECK2710
b2714,ascG,EG10087,ECK2709
b2714,sac,EG10087,ECK2709
b3433,asd,EG10088,ECK3419
b3433,dap,EG10088,ECK3419
b3433,hom,EG10088,ECK3419
b3801,aslA,EG10089,ECK3794
b3801,gppB,EG10089,ECK3794
b3801,atsA,EG10089,ECK3794
b3800,aslB,EG10090,ECK3793
b3800,gppB,EG10090,ECK3793
b3800,atsB,EG10090,ECK3793
b2064,asmA,EG11361,ECK2058
b2064,yegA,EG11361,ECK2058
b3744,asnA,EG10091,ECK3738
b0674,asnB,EG10092,ECK0662
b3743,asnC,EG10093,ECK3737
b0930,asnS,EG10094,ECK0921
b0930,lcs,EG10094,ECK0921
b0930,tss,EG10094,ECK0921
b1977,asnT,EG30020,ECK1973
b1986,asnU,EG30021,ECK1981
b1989,asnV,EG30022,ECK1984
b1984,asnW,G7069,ECK1979
b4139,aspA,EG10095,ECK4133
b0928,aspC,EG10096,ECK0919
b1866,aspS,EG10097,ECK1867
b1866,tls,EG10097,ECK1867
b3760,aspT,EG30023,ECK3754
b3760,tasC,EG30023,ECK3754
b0206,aspU,EG30024,ECK0206
b0216,aspV,EG30025,ECK0216
b1597,asr,G6855,ECK1592
b1747,astA,G6943,ECK1745
b1747,ydjV,G6943,ECK1745
b1745,astB,G6941,ECK1743
b1745,ydjT,G6941,ECK1743
b1748,astC,G6944,ECK1746
b1748,ydjW,G6944,ECK1746
b1748,argM,G6944,ECK1746
b1748,cstC,G6944,ECK1746
b1746,astD,G6942,ECK1744
b1746,ydjU,G6942,ECK1744
b1744,astE,G6940,ECK1742
b1744,ydjS,G6940,ECK1742
b0454,atl,G6251,ECK0448
b0454,ybaZ,G6251,ECK0448
b2222,atoA,EG11670,ECK2215
b2224,atoB,EG11672,ECK2217
b2220,atoC,EG11668,ECK2213
b2221,atoD,EG11669,ECK2214
b2223,atoE,EG11671,ECK2216
