TF	Gene	FC
arcA	afuB	1.8984188449555175
arcA	agaC	2.418952547022753
arcA	ahpF	1.0988990900099154
arcA	aidB	-1.3375121529838536
arcA	alaA	-2.168246155621494
arcA	alaT	1.6929641938674198
arcA	aldA	-1.8901362842070595
arcA	aldB	1.1361527151335244
arcA	allA	0.3434724530168234
arcA	allC	4.811400795911632
arcA	alsA	2.0798630606660002
arcA	ampD	-0.6289419188922007
arcA	ansB	1.2090827843719318
arcA	aphA	-1.5339953412462908
arcA	appB	1.3843244411473696
arcA	appC	2.6437109017474514
arcA	appY	-3.5906621968743857
arcA	apt	1.1547931849653725
arcA	araA	2.38315507853609
arcA	araB	1.7715667600395855
arcA	araD	1.983865034619198
arcA	araG	-0.966636099571384
arcA	arcA	3.110858580942952
arcA	arcB	1.074873016815042
arcA	argP	-2.1447014770853756
arcA	argT	-2.7795579779567734
arcA	ariR	-3.062357785979236
arcA	arnA	1.6458418545994067
arcA	arnF	-1.838770799505462
arcA	aroA	1.554609289482365
arcA	aroC	0.7546183448730682
arcA	arpB_1	-1.9861273668644972
arcA	arsB	-1.697253619848336
arcA	artM	0.5280501978239478
arcA	ascG	-0.7659588625123588
arcA	aslB	-1.7179958120672336
arcA	aspA	0.5677621463897164
arcA	aspS	0.821126557863515
arcA	asr	0.8173660336300594
arcA	astA	-0.28046086222977185
arcA	astB	-1.3859967340257207
arcA	astC	-1.8990358877349136
arcA	astD	-1.1651221266073382
arcA	astE	-1.5860685956902596
arcA	atl	0.9530708704253597
arcA	atpB	1.073268120672564
arcA	atpG	0.9106276162215812
arcA	b0501	1.1488610024728034
arcA	b0725	-2.2412483173975293
arcA	b1052	-1.6527031854599326
arcA	b1354	-2.0123671958457057
arcA	b1903	-1.3183400529179385
arcA	b3004	-2.1775228574678476
arcA	b3007	-3.1203570908935014
arcA	bdm	-2.578748747115086
arcA	betB	-1.4583789787339068
arcA	betI	-1.1771547115067449
arcA	betT	-1.334193363006941
arcA	bfr	-1.4626688773491727
arcA	bglB	-1.1370939624134415
arcA	bglF	-1.1453959426310691
arcA	bhsA	-1.0343460633036656
arcA	bioC	4.982573039235101
arcA	bioD	-0.7949410286844962
arcA	bioF	-0.805759634025704
arcA	bioH	0.8328647181009092
arcA	bisC	-0.9252148928453868
arcA	bluF	-2.6294704633036448
arcA	bolA	-1.1135381008901977
arcA	brnQ	-0.4185471068249118
arcA	bssR	2.8509191416639146
arcA	btuC	-0.546950425321478
arcA	btuE	-1.151491575997359
arcA	cadC	-2.680473517309607
arcA	caiD	2.101554757665678
arcA	can	-0.976622342235407
arcA	casA	-1.236063684866485
arcA	casB	-1.6318989218595528
arcA	casC	-2.01989850662709
arcA	ccmC	0.6627078536102884
arcA	ccmD	-1.0001003808110744
arcA	ccmE	0.6526465084074902
arcA	ccmF	0.6313088031652017
arcA	ccmG	0.45870738872400807
arcA	cdaR	-0.9569446092977336
arcA	cdd	-1.4773569881305513
arcA	cdsA	0.3971887537091803
arcA	cedA	-1.5040833432245373
arcA	chaB	-0.7367601879327239
arcA	chbR	-1.1794463699307531
arcA	cheY	1.3407993323442207
arcA	chiP	1.1388221068249553
arcA	cirA	-4.3685435361028695
arcA	citD	2.8155545651170595
arcA	citT	1.6268729448071197
arcA	clpA	-0.5755174183976361
arcA	clpB	-1.67533722716787
arcA	cmoB	-0.7908296834817161
