name,lag
sigA,3.22753567739761
smc,3.85842271043273
tagH,3.80628142392724
tilS,3.75855514812662
aroE,2.52883714971677
cspR,2.55381792238777
dapH,2.86962969708146
fabG,2.39211388830826
rpmA,2.44517918490971
hemH,2.32905828804448
hemY,2.43204926788221
mrpF,2.2587689861362
nrdF,1.83141921367501
resC,1.63584242589211
acpP,2.11566487147258
rpsI,3.16967242353171
rpsL,3.10321692898987
rpsM,2.91113627053401
rpsS,2.88450634310838
acpS,2.55290641957626
trnH,2.37869751650956
divIB,2.36532975788112
birA,2.20776985480234
mgtE,2.51846954913263
nifS,1.97274552368848
pdhA,2.3549606366253
rplT,2.61200424896244
rpsNA,2.65408692634345
ylaN25,2.67182154386231
yjzJ,2.20136032270666
ypuF,2.39397849853528
yhdL,2.378942611667
yfkN,2.44634162778812
trmD,2.6172871984961
dapG,2.88369597198553
ftsW,2.95382077455682
ftsZ,2.43240795970372
gltX,2.96538013889668
gyrB,2.57838288193922
lysS,2.34232935008718
mntA,2.34809356410893
mraY,3.64575315141279
murE,2.79995968800829
nadE,2.52389154880403
nrdE,3.46443460783436
nusA,3.02149657366838
polC,3.01540929912604
ppnK,2.79612048621119
prfA,2.93218127564056
rodA,2.39459035301427
serS,2.9998991045871
ftsZ1132,2.4357991690139
prsA44,2.21986790609846
rplR103,2.97381764841671
sknR99,2.85821098442717
yezG129,2.92552466209277
yqhY,3.24858244465523
ycgG,2.90176209247381
folD,2.47821522091647
ftsA,3.95987125181044
menB,2.51000513929358
hepT,2.38251233541282
asd,3.07741795864415
ytbE,2.66463150935309
coaD,1.88502413514631
trpS,1.67246374940076
rpsH,2.48772750114991
