division time	proteome pearson r	proteome pearson r p value	fluxome pearson r	fluxome pearson r p value	initial dry mass (fg)	final dry mass (fg)
9.176666666666666572e+01	6.691933844588936475e-01	4.932061541479418689e-290	7.154260890364846359e-01	2.664752074343045550e-04	4.021248867638744287e+02	7.821273251531840742e+02
1.017166666666666686e+02	6.628687490543601069e-01	1.078528045852297506e-282	7.397966176121762993e-01	1.265174167579234275e-04	4.021248867638744287e+02	7.821251166683255178e+02
1.155000000000000000e+02	6.626817585804188893e-01	1.766456834878047846e-282	7.322719016326539876e-01	1.605684759951257594e-04	4.021248867638744287e+02	7.821284761296581109e+02
9.534999999999999432e+01	6.689031060224920333e-01	1.081129307715205121e-289	7.286031142193581944e-01	1.798526833934899216e-04	4.021248867638744287e+02	7.820910654159583828e+02
1.172166666666666686e+02	6.637041750972116905e-01	1.184740405264873086e-283	7.348889049432419940e-01	1.479263287791633924e-04	4.021248867638744287e+02	7.820926584959017873e+02
9.933333333333332860e+01	6.668550115114741939e-01	2.678061200282782437e-287	7.092608973621177260e-01	3.179800320497985127e-04	4.021248867638744287e+02	7.820968338741458865e+02
9.345000000000000284e+01	6.876662636050713262e-01	1.498284217599896730e-312	7.430007810732253137e-01	1.140310249187644325e-04	4.021248867638744287e+02	7.821101481501300441e+02
1.040666666666666629e+02	6.711182406505372677e-01	2.648481317506745302e-292	7.399817156700758680e-01	1.257652960259138101e-04	4.021248867638744287e+02	7.821114961217638211e+02
9.684999999999999432e+01	6.781207723620147343e-01	1.042046635766682988e-300	7.180144119658975477e-01	2.470902673474543359e-04	4.021248867638744287e+02	7.821116151831827210e+02
8.934999999999999432e+01	6.815243842997334989e-01	7.035698832497976107e-305	7.141301007708765747e-01	2.766621412634522178e-04	4.021248867638744287e+02	7.821302678179870327e+02
7.661666666666666003e+01	6.823208753004091909e-01	7.296321293089457694e-306	8.011467262691513991e-01	1.276433420125482710e-05	4.021248867638744287e+02	7.820997036597757415e+02
9.356666666666666288e+01	6.839917236061623385e-01	6.140673513235060805e-308	7.477293280853676283e-01	9.755153187155350160e-05	4.021248867638744287e+02	7.821366407285167952e+02
9.931666666666666288e+01	6.725988847590550490e-01	4.625074545166687578e-294	7.383189453291063575e-01	1.326621713393504748e-04	4.021248867638744287e+02	7.821053970199802734e+02
1.062500000000000000e+02	6.627315035740242166e-01	1.549228897791992585e-282	6.630254002840458849e-01	1.053372871177149853e-03	4.021248867638744287e+02	7.821272632789864474e+02
1.145000000000000000e+02	6.832951487488562181e-01	4.517833808717700878e-307	6.608128905203339842e-01	1.109915752677866595e-03	4.021248867638744287e+02	7.823347470267406152e+02
8.259999999999999432e+01	6.841600959760648637e-01	3.787504990384587761e-308	7.780654476256267937e-01	3.287234491769501819e-05	4.021248867638744287e+02	7.822511012820650649e+02
1.074333333333333371e+02	6.810077050937147769e-01	3.048422963209567478e-304	7.400575223638040656e-01	1.254583812194000184e-04	4.021248867638744287e+02	7.820878446895678735e+02
1.005000000000000000e+02	6.752056470312346459e-01	3.509287294885932011e-297	7.572906881731377160e-01	7.040697837648164051e-05	4.021248867638744287e+02	7.821124236246212149e+02
1.089333333333333371e+02	6.721553176803743979e-01	1.558884362902929803e-293	7.464979431884540828e-01	1.016310951644296031e-04	4.021248867638744287e+02	7.820986031326576722e+02
1.048833333333333400e+02	6.864588642763206350e-01	4.998112050987530732e-311	7.876288979718248928e-01	2.252457226658376014e-05	4.021248867638744287e+02	7.821256131541210834e+02
7.550000000000000000e+01	6.648157236887354271e-01	6.202320445229466633e-285	7.819842496762902107e-01	2.821836109398121324e-05	4.021248867638744287e+02	7.821187183238337184e+02
8.340000000000000568e+01	6.792196315879049928e-01	4.759975397595399926e-302	8.526556988793841940e-01	9.158398889840233124e-07	4.021248867638744287e+02	7.821121573092057133e+02
8.265000000000000568e+01	6.876608678643630901e-01	1.522011345724841078e-312	8.243189421684212759e-01	4.333079128096940968e-06	4.021248867638744287e+02	7.821075789635428919e+02
