division time	proteome pearson r	proteome pearson r p value	fluxome pearson r	fluxome pearson r p value	initial dry mass (fg)	final dry mass (fg)
1.533833333333333258e+02	7.434321836958703855e-01	0.000000000000000000e+00	7.050544364088440208e-01	3.578263397143216680e-04	4.021248867638744287e+02	7.820878319944420127e+02
4.703333333333333144e+01	7.262592736159226847e-01	0.000000000000000000e+00	6.990893550667107714e-01	4.216195116699473274e-04	4.021248867638744287e+02	6.161180289223002546e+02
1.112666666666666657e+02	7.454969937250576217e-01	0.000000000000000000e+00	6.904676629308981184e-01	5.308792987458387739e-04	4.021248867638744287e+02	7.821540602241577744e+02
1.800000000000000000e+02	7.359444586524926946e-01	0.000000000000000000e+00	6.567562734004506186e-01	1.220278229981952524e-03	4.021248867638744287e+02	4.075155294486978619e+02
1.800000000000000000e+02	7.338412359751744773e-01	0.000000000000000000e+00	6.933720517038824971e-01	4.916515714845275196e-04	4.021248867638744287e+02	4.092753604457706160e+02
1.800000000000000000e+02	7.394245452930905405e-01	0.000000000000000000e+00	4.036576343545337786e-01	6.957981661969984966e-02	4.021248867638744287e+02	6.895985840531945996e+02
1.800000000000000000e+02	7.398849667182658685e-01	0.000000000000000000e+00	6.210938247583114302e-01	2.656716566751972982e-03	4.021248867638744287e+02	6.792728162153916855e+02
nan	nan	nan	nan	nan	nan	nan
4.450000000000000000e+01	7.468684593889962642e-01	0.000000000000000000e+00	6.994767746329699776e-01	4.171998545157476457e-04	4.021248867638744287e+02	7.820840315587390705e+02
5.933333333333333570e+00	7.489213791068990433e-01	0.000000000000000000e+00	8.798261557369147293e-03	9.698069690022717015e-01	4.021248867638744287e+02	4.098803026790639024e+02
1.800000000000000000e+02	7.390636912198933484e-01	0.000000000000000000e+00	5.228981541219042128e-01	1.500842016346054346e-02	4.021248867638744287e+02	6.836195759390934654e+02
1.800000000000000000e+02	7.389681770010312345e-01	0.000000000000000000e+00	6.509991359013307388e-01	1.392752225606397635e-03	4.021248867638744287e+02	6.567458961927095515e+02
1.800000000000000000e+02	7.351301618954003692e-01	0.000000000000000000e+00	6.678863009568860587e-01	9.376684132045211718e-04	4.021248867638744287e+02	4.283721162616476477e+02
1.457333333333333201e+02	7.388077673585955463e-01	0.000000000000000000e+00	6.661818155796973562e-01	9.769457965597774535e-04	4.021248867638744287e+02	7.820819485015513237e+02
nan	nan	nan	nan	nan	nan	nan
4.763333333333333286e+01	7.486529240033868993e-01	0.000000000000000000e+00	7.652652096465183407e-01	5.303504585535084403e-05	4.021248867638744287e+02	7.821580830452307964e+02
1.800000000000000000e+02	7.357102213641596444e-01	0.000000000000000000e+00	7.321635608973325882e-01	1.611113055895316488e-04	4.021248867638744287e+02	4.309897408511012600e+02
1.800000000000000000e+02	7.333397151500391509e-01	0.000000000000000000e+00	1.466915100499796010e-01	5.257483189568490367e-01	4.021248867638744287e+02	4.052094177374966648e+02
1.800000000000000000e+02	7.389916250834086542e-01	0.000000000000000000e+00	6.612304503284169854e-01	1.099052089802806569e-03	4.021248867638744287e+02	6.812228136852243097e+02
1.800000000000000000e+02	7.394446370021585668e-01	0.000000000000000000e+00	5.686688224976730321e-01	7.145493141863037967e-03	4.021248867638744287e+02	6.032711999762145751e+02
1.800000000000000000e+02	7.407611247550244249e-01	0.000000000000000000e+00	3.387250726130004441e-01	1.330978372274949084e-01	4.021248867638744287e+02	6.916713590676690728e+02
4.725000000000000000e+01	7.475975371728882379e-01	0.000000000000000000e+00	7.124881731445065203e-01	2.900467321683331445e-04	4.021248867638744287e+02	7.821099524293886134e+02
5.086666666666666714e+01	7.252001129364136212e-01	0.000000000000000000e+00	7.594408843646960339e-01	6.529695558497194312e-05	4.021248867638744287e+02	6.290075186513506651e+02
1.076333333333333400e+02	7.377970573433230150e-01	0.000000000000000000e+00	2.805089176731838108e-01	2.180781391335470387e-01	4.021248867638744287e+02	4.102772433389699245e+02
1.800000000000000000e+02	7.392235698004487876e-01	0.000000000000000000e+00	7.382833941067225014e-01	1.328131228542839737e-04	4.021248867638744287e+02	6.711293229234834143e+02
nan	nan	nan	nan	nan	nan	nan
1.800000000000000000e+02	7.391531949588395767e-01	0.000000000000000000e+00	7.089757676560785038e-01	3.205551693017123348e-04	4.021248867638744287e+02	6.917367992628121556e+02
4.426666666666666572e+01	7.311393017138761996e-01	0.000000000000000000e+00	7.834569099478886356e-01	2.662390446676929487e-05	4.021248867638744287e+02	6.155531135088674546e+02
1.800000000000000000e+02	7.358689955231700885e-01	0.000000000000000000e+00	5.541367412176798624e-01	9.145030515005193178e-03	4.021248867638744287e+02	4.224210894697706635e+02
4.403333333333333144e+01	7.477298864337738049e-01	0.000000000000000000e+00	8.503900193918318973e-01	1.048924785452797177e-06	4.021248867638744287e+02	7.821007515335145399e+02
1.800000000000000000e+02	7.330853923695453966e-01	0.000000000000000000e+00	4.254979921933605413e-01	5.447709712663666853e-02	4.021248867638744287e+02	4.522343464254668106e+02
1.800000000000000000e+02	7.359099379346493164e-01	0.000000000000000000e+00	5.099807246530979610e-01	1.818484424048374959e-02	4.021248867638744287e+02	4.111635262502956039e+02
1.457333333333333201e+02	7.422623765031663989e-01	0.000000000000000000e+00	7.186506048127988544e-01	2.425154774241929849e-04	4.021248867638744287e+02	7.820808230773484411e+02
1.483666666666666742e+02	7.397954930367035553e-01	0.000000000000000000e+00	6.185206611121624176e-01	2.800123823810478016e-03	4.021248867638744287e+02	7.820925288637542963e+02
1.800000000000000000e+02	7.308769725819378449e-01	0.000000000000000000e+00	3.765102094244183184e-01	9.251119018656066284e-02	4.021248867638744287e+02	4.668317076786693178e+02
1.800000000000000000e+02	7.366770020901983740e-01	0.000000000000000000e+00	6.505174201436429993e-01	1.408072933198281683e-03	4.021248867638744287e+02	4.178737833167474491e+02
1.800000000000000000e+02	7.378386451449792105e-01	0.000000000000000000e+00	7.346036070290491438e-01	1.492614883786559904e-04	4.021248867638744287e+02	7.337283806523655585e+02
4.996666666666666856e+01	7.464508773880711434e-01	0.000000000000000000e+00	6.440106587180907116e-01	1.629382430812195996e-03	4.021248867638744287e+02	7.820909704531729858e+02
