division time	proteome pearson r	proteome pearson r p value	fluxome pearson r	fluxome pearson r p value	initial dry mass (fg)	final dry mass (fg)
5.213333333333333286e+01	7.465751235098319061e-01	0.000000000000000000e+00	8.180398054925009932e-01	5.893247039180203532e-06	4.021248867638744287e+02	7.820948772775227553e+02
5.454999999999999716e+01	7.287953602288738120e-01	0.000000000000000000e+00	8.007518554883311657e-01	1.298565277531668395e-05	4.021248867638744287e+02	6.087208159930996771e+02
4.966666666666666430e+01	7.483227954686137995e-01	0.000000000000000000e+00	7.672532815283803487e-01	4.933418621228824339e-05	4.021248867638744287e+02	7.821765642932257379e+02
5.993333333333333002e+01	7.482140422219832887e-01	0.000000000000000000e+00	7.414136696234674417e-01	1.200759680341578159e-04	4.021248867638744287e+02	7.820963534283882836e+02
4.888333333333333286e+01	7.466103889890932654e-01	0.000000000000000000e+00	7.770106016556685979e-01	3.423362653722595233e-05	4.021248867638744287e+02	7.821931689541559081e+02
8.013333333333333997e+01	7.297197284336774947e-01	0.000000000000000000e+00	7.797146140263905290e-01	3.083832703169152057e-05	4.021248867638744287e+02	7.821403098064236019e+02
7.948333333333333428e+01	7.246654716466983670e-01	0.000000000000000000e+00	9.080506355512402150e-01	1.299433341306116118e-08	4.021248867638744287e+02	7.821415696934750486e+02
1.550333333333333314e+02	7.390596272572091952e-01	0.000000000000000000e+00	8.367451098332512327e-01	2.272316304361432871e-06	4.021248867638744287e+02	7.820853305618054492e+02
4.736666666666666714e+01	7.455546024070868194e-01	0.000000000000000000e+00	7.574074458662081177e-01	7.012086985699514906e-05	4.021248867638744287e+02	7.821032811425145610e+02
1.800000000000000000e+02	7.387083181147331423e-01	0.000000000000000000e+00	6.362937764574302379e-01	1.929205112574971289e-03	4.021248867638744287e+02	6.758559938442256225e+02
4.729999999999999716e+01	7.445658567175499343e-01	0.000000000000000000e+00	7.798611716110773751e-01	3.066298177933986544e-05	4.021248867638744287e+02	7.821599552635882446e+02
5.591666666666666430e+01	7.443402135450601920e-01	0.000000000000000000e+00	8.376876093300732462e-01	2.159083714601152207e-06	4.021248867638744287e+02	7.821854579828602709e+02
4.873333333333333428e+01	7.486495669807412545e-01	0.000000000000000000e+00	7.194171090407807112e-01	2.371004351615643246e-04	4.021248867638744287e+02	7.821913072814418229e+02
4.950000000000000000e+01	7.475435119526785410e-01	0.000000000000000000e+00	7.819987710293633265e-01	2.820224224626917869e-05	4.021248867638744287e+02	7.821362445318848131e+02
5.233333333333333570e+01	7.467904872804183025e-01	0.000000000000000000e+00	7.752425235217138555e-01	3.662533992357523184e-05	4.021248867638744287e+02	7.821675231640497259e+02
4.993333333333333002e+01	7.479841876905575226e-01	0.000000000000000000e+00	7.858508388664625643e-01	2.419899236190260384e-05	4.021248867638744287e+02	7.822272938355749829e+02
4.876666666666666572e+01	7.466126874816856329e-01	0.000000000000000000e+00	8.516060318562981291e-01	9.755259374643874871e-07	4.021248867638744287e+02	7.821493589736028298e+02
4.978333333333333144e+01	7.472725785640231821e-01	0.000000000000000000e+00	7.766185060297018383e-01	3.475196981252116294e-05	4.021248867638744287e+02	7.822233136791521702e+02
5.298333333333333428e+01	7.461468569410222296e-01	0.000000000000000000e+00	7.582099886667644784e-01	6.818137659212767049e-05	4.021248867638744287e+02	7.821230869760781843e+02
4.998333333333333428e+01	7.466728423377927415e-01	0.000000000000000000e+00	7.850653121103665644e-01	2.497256855415481015e-05	4.021248867638744287e+02	7.822070527546575249e+02
6.061666666666666714e+01	7.474049895790860765e-01	0.000000000000000000e+00	7.587915634030591994e-01	6.680508347120223502e-05	4.021248867638744287e+02	7.820867445011674590e+02
4.676666666666666572e+01	7.474580356052747954e-01	0.000000000000000000e+00	7.700929058884400380e-01	4.443732439457811600e-05	4.021248867638744287e+02	7.822066868318490833e+02
4.403333333333333144e+01	7.463840395115398652e-01	0.000000000000000000e+00	7.976545251253117641e-01	1.484095953352250449e-05	4.021248867638744287e+02	7.821214398384136075e+02
4.671666666666666856e+01	7.486255909478232162e-01	0.000000000000000000e+00	7.762594225662772240e-01	3.523263990206536777e-05	4.021248867638744287e+02	7.821380996274285735e+02
