kS	KMaa	KMtf	krta	krtf
100.049885312697	92.6235666976717	1.29310889026632	0.948812332544558	242.995137074558
100.047931023758	92.6249049496557	1.29365040663971	0.954963782897942	242.995072038479
100.046311793967	92.6261138768922	1.29410051209918	0.957919986807411	242.995040709677
100.048019253899	92.6250652825811	1.29341058525556	0.955039559699095	242.995072399036
100.046949066597	92.6259622022423	1.29364450638359	0.95600459110659	242.995040312877
100.046990605393	92.6249710170623	1.29432983982898	0.95506336706763	242.995072420742
100.046337572336	92.6252859656097	1.2944883200606	0.958224611201111	242.995038998335
100.047735068734	92.6242062830636	1.2940382816011	0.955234917109156	242.995070957666
100.047228596251	92.6242578751595	1.29408092951353	0.955200446738268	242.995104126309
100.046687978204	92.6249333789909	1.29391373014953	0.956486108404172	242.995071759819
